,name,id,nametype,recclass,mass,fall,year,reclat,reclong,coordinates,locations,locations2
540,Lichtenberg,14646,Valid,H6,4000.0,Fell,1973-01-01T00:00:00.000,-26.15,26.18333,"[26.18333, -26.15]",South Africa,South Africa
541,Lillaverke,14650,Valid,H5,6862.0,Fell,1930-01-01T00:00:00.000,56.65,15.86667,"[15.86667, 56.65]",Sweden,Sweden
547,Lixna,14670,Valid,H4,5213.0,Fell,1820-01-01T00:00:00.000,56.0,26.43333,"[26.43333, 56]",Latvia,Latvia
555,Lua,14721,Valid,L5,9241.0,Fell,1926-01-01T00:00:00.000,24.95,75.15,"[75.15, 24.95]",India,India
556,Lucé,14724,Valid,L6,3500.0,Fell,1768-01-01T00:00:00.000,47.85,0.48333,"[0.48333000000000004, 47.85]",France,France
558,Lunan,14754,Valid,H6,2520.0,Fell,1980-01-01T00:00:00.000,24.8,103.3,"[103.3, 24.8]",China,China
571,Magnesia,15386,Valid,"Iron, IAB-sHL",5000.0,Fell,1899-01-01T00:00:00.000,37.86667,27.51667,"[27.51667, 37.86667]",Turkey,Turkey
574,Maigatari-Danduma,30751,Valid,H5/6,4629.0,Fell,2004-01-01T00:00:00.000,12.83333,9.38333,"[9.38333, 12.83333]",Niger,Niger
584,Manych,15409,Valid,LL3.4,3555.0,Fell,1951-01-01T00:00:00.000,45.81667,44.63333,"[44.63333, 45.81667]",Russia,Russia
585,Mardan,15414,Valid,H5,4500.0,Fell,1948-01-01T00:00:00.000,34.23333,72.08333,"[72.08333, 34.23333]",Pakistan,Pakistan
589,Maridi,15421,Valid,H6,3200.0,Fell,1941-01-01T00:00:00.000,4.66667,29.25,"[29.25, 4.66667]",South Sudan,South Sudan
590,Marilia,15422,Valid,H4,2500.0,Fell,1971-01-01T00:00:00.000,-22.25,-49.93333,"[-49.93333, -22.25]",Brazil,Brazil
593,Marmande,15429,Valid,L5,3000.0,Fell,1848-01-01T00:00:00.000,44.5,0.15,"[0.15, 44.5]",France,France
