,name,id,nametype,recclass,mass,fall,year,reclat,reclong,coordinates,locations,locations2
545,Lissa,14661,Valid,L6,12800.0,Fell,1808-01-01T00:00:00.000,50.2,14.85,"[14.85, 50.2]",Česko,Česko
549,Lohawat,14678,Valid,Howardite,40000.0,Fell,1994-01-01T00:00:00.000,26.96556,72.62667,"[72.62667, 26.96556]",India,India
552,Lost City,14711,Valid,H5,17000.0,Fell,1970-01-01T00:00:00.000,36.00833,-95.15,"[-95.15, 36.00833]",United States,United States
554,Łowicz,14718,Valid,Mesosiderite-A3,59000.0,Fell,1935-01-01T00:00:00.000,52.0,19.91667,"[19.91667, 52]",Polska,Polska
559,Lundsgård,14755,Valid,L6,11000.0,Fell,1889-01-01T00:00:00.000,56.21667,13.03333,"[13.03333, 56.21667]",Sverige,Sverige
561,Luponnas,14757,Valid,H3-5,14000.0,Fell,1753-01-01T00:00:00.000,46.21667,5.0,"[5, 46.21667]",France,France
565,Machinga,15371,Valid,L6,93200.0,Fell,1981-01-01T00:00:00.000,-15.21222,35.24222,"[35.24222, -15.21222]",Malawi,Malawi
573,Mahadevpur,47361,Valid,H4/5,70500.0,Fell,2007-01-01T00:00:00.000,27.66667,95.78333,"[95.78333, 27.66667]",India,India
583,Mangwendi,15405,Valid,LL6,22300.0,Fell,1934-01-01T00:00:00.000,-17.65,31.6,"[31.6, -17.65]",Zimbabwe,Zimbabwe
591,Marion (Iowa),15424,Valid,L6,28400.0,Fell,1847-01-01T00:00:00.000,41.9,-91.6,"[-91.6, 41.9]",United States,United States
592,Marjalahti,15426,Valid,"Pallasite, PMG",45000.0,Fell,1902-01-01T00:00:00.000,61.5,30.5,"[30.5, 61.5]",Россия,Россия
599,Mauerkirchen,15446,Valid,L6,19000.0,Fell,1768-01-01T00:00:00.000,48.18333,13.13333,"[13.13333, 48.18333]",Österreich,Österreich
604,Mbale,15455,Valid,L5/6,150000.0,Fell,1992-01-01T00:00:00.000,1.06667,34.16667,"[34.16667, 1.06667]",Uganda,Uganda
607,Meester-Cornelis,15470,Valid,H5,24750.0,Fell,1915-01-01T00:00:00.000,-6.23333,106.88333,"[106.88333, -6.23333]",Indonesia,Indonesia
608,Menow,15485,Valid,H4,10500.0,Fell,1862-01-01T00:00:00.000,53.18333,13.15,"[13.15, 53.18333]",Deutschland,Deutschland
