,name,id,nametype,recclass,mass,fall,year,reclat,reclong,coordinates,locations,locations2
900,Semarkona,23487,Valid,LL3.00,691.0,Fell,1940-01-01T00:00:00.000,22.25,79.0,"[79, 22.25]",India,India
902,Senboku,23496,Valid,H6,866.0,Fell,1993-01-01T00:00:00.000,39.43833,140.51167,"[140.51167, 39.43833]",Japan,Japan
905,Serra de Magé,23502,Valid,Eucrite-cm,1800.0,Fell,1923-01-01T00:00:00.000,-8.38333,-36.76667,"[-36.76667, -8.38333]",Brazil,Brazil
906,Sete Lagoas,23504,Valid,H4,350.0,Fell,1908-01-01T00:00:00.000,-19.46667,-44.21667,"[-44.21667, -19.46667]",Brazil,Brazil
907,Sevilla,23508,Valid,LL4,180.0,Fell,1862-01-01T00:00:00.000,37.41667,-6.0,"[-6, 37.41667]",Spain,Spain
911,Sharps,23525,Valid,H3.4,1265.0,Fell,1921-01-01T00:00:00.000,37.83333,-76.7,"[-76.7, 37.83333]",United States,United States
914,Sheyang,23531,Valid,L6,605.0,Fell,1976-01-01T00:00:00.000,33.65,120.06667,"[120.06667, 33.65]",China,China
921,Silao,23594,Valid,H5,1710.0,Fell,1995-01-01T00:00:00.000,20.93333,-101.38333,"[-101.38333, 20.93333]",Mexico,Mexico
923,Simmern,23603,Valid,H5,1222.0,Fell,1920-01-01T00:00:00.000,49.98333,7.53333,"[7.53333, 49.98333]",Germany,Germany
924,Sinai,23606,Valid,L6,1455.0,Fell,1916-01-01T00:00:00.000,30.9,32.48333,"[32.48333, 30.9]",Egypt,Egypt
928,Sitathali,23616,Valid,H5,1600.0,Fell,1875-01-01T00:00:00.000,20.91667,82.58333,"[82.58333, 20.91667]",India,India
930,Sixiangkou,23619,Valid,L5,630.0,Fell,1989-01-01T00:00:00.000,32.43333,119.86667,"[119.86667, 32.43333]",China,China
931,Ski,23621,Valid,L6,850.0,Fell,1848-01-01T00:00:00.000,59.73333,10.86667,"[10.86667, 59.73333]",Norway,Norway
932,Slavetic,23626,Valid,H5,1708.0,Fell,1868-01-01T00:00:00.000,45.68333,15.6,"[15.6, 45.68333]",Croatia,Croatia
936,Sologne,23663,Valid,H5,54.0,Fell,1860-01-01T00:00:00.000,47.36667,1.73333,"[1.73333, 47.36667]",France,France
937,Sołtmany,53829,Valid,L6,1066.0,Fell,2011-01-01T00:00:00.000,54.00883,22.005,"[22.005, 54.00883]",Poland,Poland
940,Sopot,23670,Valid,OC,958.0,Fell,1927-01-01T00:00:00.000,44.41667,23.5,"[23.5, 44.41667]",Romania,Romania
942,St. Caprais-de-Quinsac,23081,Valid,L6,360.0,Fell,1883-01-01T00:00:00.000,44.75,0.05,"[0.05, 44.75]",France,France
944,St. Denis Westrem,23083,Valid,L6,700.0,Fell,1855-01-01T00:00:00.000,51.05,3.75,"[3.75, 51.05]",Belgium,Belgium
946,St. Louis,23089,Valid,H4,1000.0,Fell,1950-01-01T00:00:00.000,38.7,-90.23333,"[-90.23333, 38.7]",United States,United States
954,Stavropol,23717,Valid,L6,1500.0,Fell,1857-01-01T00:00:00.000,45.05,41.98333,"[41.98333, 45.05]",Russia,Russia
958,Stratford,23728,Valid,L6,50.0,Fell,1974-01-01T00:00:00.000,41.2,-73.13333,"[-73.13333, 41.2]",United States,United States
967,Sungach,23745,Valid,H5,637.0,Fell,1935-01-01T00:00:00.000,44.86667,133.16667,"[133.16667, 44.86667]",Russia,Russia
974,Tahara,23784,Valid,H4/5,1000.0,Fell,1991-01-01T00:00:00.000,34.72,137.305,"[137.305, 34.72]",Japan,Japan
975,Takenouchi,23789,Valid,H5,720.0,Fell,1880-01-01T00:00:00.000,35.38333,134.9,"[134.9, 35.38333]",Japan,Japan
976,Talampaya,23791,Valid,Eucrite-cm,1421.0,Fell,1995-01-01T00:00:00.000,,,,NaN,NaN
979,Tané,23801,Valid,L5,905.0,Fell,1918-01-01T00:00:00.000,35.43333,136.23333,"[136.23333, 35.43333]",Japan,Japan
987,Thal,23908,Valid,H6,342.0,Fell,1950-01-01T00:00:00.000,33.4,70.6,"[70.6, 33.4]",Pakistan,Pakistan
995,Tirupati,24009,Valid,H6,230.0,Fell,1934-01-01T00:00:00.000,13.63333,79.41667,"[79.41667, 13.63333]",India,India
999,Tomakovka,24019,Valid,LL6,600.0,Fell,1905-01-01T00:00:00.000,47.85,34.76667,"[34.76667, 47.85]",Ukraine,Ukraine
